"Ключевое слово",Сложность,Частотность,"Интент запроса","Элементы поиска",Релевантность,CPC,Конкуренция
"керамика для авто",4,40,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview",,0.03,1
"керамика на автомобиль",3,480,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",61,0.03,1
"керамика на авто",3,480,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",95,0.03,1
"кераміка на авто",3,480,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",63,0.03,1
"нанокерамика для авто",3,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, Related searches",21,0.03,0.99
"нанокерамика для автомобиля",3,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",17,0.03,0.99
нанокерамика,8,320,I,"Рейтинги, Видео, Похожие запросы, Картинки, Сеть знаний, Related searches",21,0.04,1
"купить керамику для авто",5,320,T,"Рейтинги, Видео, Картинки, Товары по запросу, Related searches",34,0.03,1
"купить керамику для автомобиля",5,320,T,"Рейтинги, Видео, Похожие запросы, Картинки, Товары по запросу, Related searches",47,0.03,1
"керамика для авто купить",5,260,T,"Рейтинги, Видео, Похожие запросы, Картинки, Товары по запросу, Related searches",40,0.03,1
"керамика для автомобиля купить",8,260,"L, T","Результаты карт, Рейтинги, Видео, Похожие запросы, Картинки, Товары по запросу, Related searches",29,0.03,1
"керамічне покриття авто",5,210,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",40,0.02,1
"що таке кераміка",13,170,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",6,0,0
"керамическое покрытие авто",3,170,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",40,0.03,1
"керамическое покрытие автомобиля",2,170,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",42,0.03,1
"кераміка на авто ціна",3,170,I,"Рейтинги, Видео, Похожие запросы, Картинки, AI Overview, Related searches",49,0.02,1
