product_id	name	old_categories	new_categories	reason
3508	Гумова Щітка для Видалення Шерсті та Очищення Ворсу з Килимів	477	495	щітка для килимів/салону = детейлінг
3518	Щітка для Глибокого Миття Дисків з Гумовим Наконечником EZ-Style Синя 43 см	477	494	щітка для дисків
3532	Щітка з Жорстким Ворсом для Глибокого Чищення Килимків та Ковроліну	477	495	щітка для килимків = детейлінг
3533	Губка-Аплікатор з Мікрощетиною для Глибокого Чищення Текстилю та Шкіри	477	453	губка-аплікатор
3534	Щітка зі Змішаним Ворсом для Чищення Шкіри 14 см	477	495	щітка для шкіри = детейлінг
3535	Двостороння Гумова Щітка для Видалення Шерсті та Бруду з Текстилю	477	495	щітка для текстилю = детейлінг
3537	Ергономічна Щітка для Чищення Килимів та Текстильної Оббивки	477	495	щітка для килимів/салону = детейлінг
3561	Синтетична Щітка-Скраб для Чищення Килимів та Тканини	477	495	щітка-скраб для салону = детейлінг
3562	Професійна Щітка з Кінського Ворсу для Чищення Шкіри	477	495	щітка для шкіри = детейлінг
3563	Нейлонова Щітка з Короткою Ручкою для Чищення Килимів та Текстилю	477	495	щітка для текстилю = детейлінг
3564	Щітка для Хімчистки Інтер'єру Buff and Shine Multi Purpose Scrub	477	495	щітка для інтер'єру = детейлінг
3571	Рукавиця з Мікрофібрового Флісу для Ручного Миття Авто Синя	477	453	рукавиця
3598	Рукавиця для Миття Авто з Натуральної Овчини	477	453	рукавиця
3616	Губка для Ручного Миття Авто 19x12x7 см	477	453	губка
3617	Крупнопориста Губка для Безпечної Мійки Авто	477	453	губка
3618	Жорстка Щітка для Литих Дисків Vikan 65x325 мм	477	494	щітка для дисків Vikan
3635	Двостороння Нейлонова Щітка для Чищення Важкодоступних Місць в Салоні	477	495	щітка для салону = детейлінг
3636	Двостороння Рукавиця з Мікрофібри для Миття Кузова та Дисків	477	453	рукавиця
3637	Щітка з Натуральним Кінським Ворсом для Делікатного Чищення Шкіри та Вінілу	477	495	щітка для шкіри = детейлінг
3642	Детейлінг-Пензель з Синтетичним Ворсом для Важкодоступних Місць 25 см	477	495	детейлінг-пензель
3659	Ультрам'який Детейлінг-Пензель для Вентиляційних Решіток та Делікатних Поверхонь Vent Duster	477	495	детейлінг-пензель для вентиляції
3660	Детейлінг-Пензель з Натуральним Ворсом для Делікатного Чищення Салону	477	495	детейлінг-пензель для салону
3661	Універсальний Детейлінг-Пензель з М'яким Ворсом для Інтер'єру та Екстер'єру	477	495	детейлінг-пензель
3662	Жорстка Щітка-Пензель для Глибокого Очищення Важкодоступних Місць	477	495	щітка-пензель
3674	Кислотостійкий Детейлінг-Пензель для Миття Двигуна та Пройомів	477	495	детейлінг-пензель
3676	Хімстійка Нейлонова Щітка для Чищення Шин та Гумових Килимків	477	494	щітка для шин
3689	Широка Мідна Щітка для Глибокого Чищення Шин W.S.W.	477	494	мідна щітка для шин
3690	ПВХ Щітка з Короткою Ручкою для Миття Коліс та Двигуна	477	494	ПВХ щітка для коліс
3691	Щітка з Мікрофібри для Глибокого Миття Спиць та Ободів Дисків	477	494	щітка для дисків
3738	Рукавиця для Миття Авто з Полівововни POLYWOOL	477	453	рукавиця
3749	Щітка для Колісних Дисків з М'якими Волокнами	477	494	щітка для дисків
3755	ПВХ Щітка з Довгою Ручкою для Миття Коліс, Арок та Двигуна	477	494	ПВХ щітка для коліс/арок
3860	Рукавиця для Миття Авто з Мікрофібри Жовта	477	453	рукавиця
3861	Плюшева Щітка з Синтетичної Вовни для Миття Дисків Розмір L	477	494	щітка для дисків
3902	Двостороння Губка-Скраб для Миття Авто та Видалення Комах DUO	477	453	губка-скраб
3914	Рукавиця для Миття Авто з Двох Типів Мікрофібри	477	453	рукавиця
3967	Ультрам'яка Щітка-Пензель для Делікатного Чищення Пилу в Салоні	477	495	щітка-пензель для салону
3971	Щітка з Натуральним Кінським Ворсом для Делікатного Чищення Шкіри та Пластику	477	495	щітка для шкіри = детейлінг
3982	Рукавиця з Довгим Ворсом з Мікрофібри для Миття Колісних Дисків	477	453	рукавиця
3983	Жорстка Щітка з Натурального Ворсу Tampico для Чищення Дисків 37 см	477	494	Tampico щітка для дисків
3988	Щітка для Миття Дисків з Довгим Ворсом Vikan	477	494	Vikan щітка для дисків
3989	Гнучка Довга Щітка для Миття Двигуна та Дисків 70 см	477	494	щітка для двигуна/дисків
3990	М'яка Щітка з Натурального Ворсу для Дисків Vikan 65x325 мм	477	494	Vikan щітка для дисків
3992	Жорстка Щітка з Натурального Ворсу Tampico для Чищення Дисків з Короткою Ручкою	477	494	Tampico щітка для дисків
3996	Професійна Щітка з Жорстким Ворсом для Хімчистки Текстилю Vikan 120 мм	477	495	Vikan щітка для хімчистки = детейлінг
3997	Рукавичка-Аплікатор з Мікрощетиною для Глибокого Чищення Шкіри	477	453	рукавичка-аплікатор
3998	Жорстка Щітка з Ворсом Tampico для Хімчистки Шкіри та Пластику	477	495	Tampico щітка для шкіри = детейлінг
4005	Рукавиця для Миття Авто з Мікрофібри Gtechniq WM2	477	453	рукавиця
4011	Щітка Середньої Жорсткості для Глибокого Чищення Дисків та Шин	477	494	щітка для дисків/шин
4243	Рукавиця для Миття Авто з Мікрофібри Чорна	477	453	рукавиця
4248	Мідна Щітка для Глибокого Чищення Шин	477	494	мідна щітка для шин
4264	Щітка з М'яким Ворсом для Делікатного Миття Коліс	477	494	щітка для коліс
4266	Щітка з Мікрофібри для Миття Дисків з Короткою Ручкою	477	494	щітка для дисків
4272	Плюшева Щітка з Синтетичної Вовни для Миття Дисків Розмір S	477	494	щітка для дисків
4273	Плюшева Щітка з Синтетичної Вовни для Миття Дисків Розмір M	477	494	щітка для дисків
4275	Щітка з Натуральним Ворсом та Ергономічною Ручкою для Салону	477	495	щітка для салону = детейлінг
4279	Щітка Середньої Жорсткості для Чищення Дисків Чорна	477	494	щітка для дисків
4281	Ультрам'яка Щітка-Пензель для Пилу та Глянцевих Поверхонь в Салоні Ultra Soft	477	495	щітка-пензель для салону
3560	Набір М'яких Нейлонових Щіток на Дриль (4 шт) для Делікатного Чищення Салону	445,477	466,495	набір + м'які щітки для салону = кисті для детейлінгу
3599	Щітка для Глибокого Миття Дисків з Гумовим Наконечником Червона 43 см	445,477	494	щітка для дисків = щітки для мийки
3658	Набір Детейлінг-Пензлів із Змішаним Ворсом (5 шт) CDL	445,466,477	466,495	набір + детейлінг-пензлі
3846	Посилені Нітрилові Рукавиці з Діамантовою Текстурою PROGRIP DIAMOND BLACK Розмір XL (50 шт)	445	454	нітрилові рукавиці = витратники
3963	Набір нейлонових щіток для дриля жовті medium	445,477	466,494	набір + medium щітки для дриля
3966	Набір Жорстких Нейлонових Щіток на Дриль (3 шт) для Чищення Ковроліну	445,477	466,495	набір + щітки для ковроліну (салон) = кисті
4325	Набір для Мийки: Відро 20 л, Сепаратор та Кришка Liquid Elements "Карбон"	445,448	466,448	набір + відро з сепаратором
4326	Набір для Мийки: Відро 20 л, Сепаратор та Кришка Liquid Elements "Вольт"	445,448	466,448	набір + відро з сепаратором
4334	Латунний Пінокомплект з Мірною Шкалою для Мінімийок АВТ 1 л	445,447	447	пінокомплект = розпилювачі
4337	Крупнопориста Губка для Миття Автомобіля Графіт 18x12x8 см	445,453	453	губка для миття
4339	Універсальний Мікрофібровий Аплікатор для Авто Голубий	445,453	453	мікрофібровий аплікатор = губки/варежки
4340	Універсальна Серветка з Мікрофібри 300GSM Жовта 40x40 см	445,446	446	серветка з мікрофібри
4341	Універсальна Серветка з Мікрофібри 300GSM Червона 40x40 см	445,446	446	серветка з мікрофібри
4342	Універсальна Серветка з Мікрофібри 300GSM Зелена 40x40 см	445,446	446	серветка з мікрофібри
4343	Універсальна Серветка з Мікрофібри 300GSM Голуба 40x40 см	445,446	446	серветка з мікрофібри
4346	Мікрофібри в коробках синьо-сірого кольору 38 x 38 см (50шт)	445,446	446	мікрофібра оптом
4347	Мікрофібри в коробках синьо-сірого кольору 30 x 30 см (50шт)	445,446	446	мікрофібра оптом
4349	Візок для відра з лотками на колесах для ручної мийки авто Palm	445,448	448	візок для відра
4350	Пляшка HDPE чорна 28/410 об'ємом 1л	445,447	447	пляшка = розпилювачі
4352	Універсальний Набір пензликів для детейлінгу Штучний ворс 5 шт	445,477	466,495	набір + пензлики для детейлінгу
4103	Віск для сушки "Apricot" 1:100 20 л	NULL	436	віск для сушки = квік-детейлер
4104	Віск для сушки "Apricot" 5л	NULL	436	віск для сушки = квік-детейлер
4231	Керамічне покриття Gtechniq Crystal Serum Ultra	NULL	439	керамічне покриття = керамика
4257	Губка для авто DUO з шаром від комах - red	NULL	453	губка для авто = губки и варежки
4292	Сумка брендована Ultimate Blaack	NULL	455	сумка брендована = мерч
3820	Поролоновий Полірувальний Круг ZviZZer THERMO Trapez Середньої Жорсткості 80 мм	457	459	круг → Полировальные круги
3848	Поролоновий Полірувальний Круг ZviZZer THERMO Trapez Ультрам'який Зелений 80 мм	457	459	круг → Полировальные круги
3850	Поролоновий Полірувальний Круг ZviZZer THERMO Trapez Екстражорсткий Синій 80 мм	457	459	круг → Полировальные круги
3851	Поролоновий Полірувальний Круг ZviZZer THERMO Trapez Жорсткий Червоний 150 мм	457	459	круг → Полировальные круги
3916	Поролоновий Полірувальний Круг ZviZZer THERMO Trapez М'який Жовтий 80 мм	457	459	круг → Полировальные круги
