slug,cluster_name,seed_phrase,seed_volume,min_position,url
aktivnaya-pena,Активная пена,пена для мойки авто,1300,2,https://automoyka.ua/catalog/beskontaktnaya_moyka/
aktivnaya-pena,Активная пена,пена для мойки авто,1300,6,https://mons.in.ua/ru/poperednia-myika/
aktivnaya-pena,Активная пена,пена для мойки автомобиля,1300,7,https://venor.ua/ru/aktivnaya-pena-dlya-bezkontaktnoy-moyki
aktivnaya-pena,Активная пена,пена для мойки автомобиля,1300,8,https://drivecare.com.ua/ru/pena-dlia-moiky-avto-ffektyvnyi-sposob-ukhoda-za-avtomobylem/
aktivnaya-pena,Активная пена,пена для мойки автомобиля,1300,10,https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-premium-pure-vida-500-h-kontsentrat/
aktivnaya-pena,Активная пена,пена для мойки авто,1300,4,https://shop.cardetaillab.ua/category/khimiya/tovar_aktivnaya-pena
aktivnaya-pena,Активная пена,пена для мойки авто,1300,6,https://tricolor.com.ua/avtomobilnaya-himiya/tip-aktivnaya-pena/
aktivnaya-pena,Активная пена,пена для мойки авто,1300,10,https://avtozvuk.ua/shampuni/c1258/884=76067
aktivnaya-pena,Активная пена,активная пена для мойки авто,1000,3,https://tiptoppro.com/ru/aktivnaya-pena/
aktivnaya-pena,Активная пена,активная пена для мойки авто,1000,9,https://pratta.ua/ru/aktyvna-pina-dlia-myttia-avto-extra-pure-vida-22-kh-kontsentrat/
antibitum,Антибитум,антибитум цена,10,1,https://shop.cardetaillab.ua/category/dlya_kuzova/tovar_ochistitel/zagryazneniye_bitum
antibitum,Антибитум,антибитум цена,10,5,https://drossel.ua/catalog/kosmetika/f-683_5224_antibitum/index.html
antibitum,Антибитум,антибитум цена,10,7,https://ebrand.ua/ru/antybitum-ultimate-bitumen-buster/
antibitum,Антибитум,антибитум цена,10,4,https://primer.com.ua/ru/antybitum
antibitum,Антибитум,антибитум купить,10,7,https://aura.if.ua/avtohimiya/masla-i-tehnicheskie-zhidkosti/ochistitel-bitumnyh-pyaten-antibitum-piton-400-ml.html
antibitum,Антибитум,антибитум купить,10,10,https://venor.ua/ru/sredstva-po-ukhodu-za-ekstererom-avtomobilya-roznica/27-venorbitev-antibitum
antimoshka,Антимошка,антимошка для авто,320,3,https://tornador-magnum.com.ua/vse-dlya-chishchennya-kuzovu/ochisniki-kuzova/ochishchennya-organiki-antimoshka
antimoshka,Антимошка,антимошка,320,4,https://tabletki.ua/Антимошка/1028251/
antimoshka,Антимошка,антимошка,320,5,https://skyfarb.com/ru/zasib-dlia-vydalennia-ta-ochyshchennia-vid-komakh-antymoshka-lotus-500-ml/
antimoshka,Антимошка,антимошка для авто,320,2,https://mastercareshop.com/ru/types/ochistiteli-nasekomyh/
antimoshka,Антимошка,антимошка,320,8,https://www.atom-professional.com.ua/avtohimiia/dohliad-za-ekster-ierom/zasib-dlia-vydalenia-slidiv-vid-komakh-fly-dry-z-aromatom-yabluka-5l/
antimoshka,Антимошка,антимошка,320,9,https://mons.in.ua/ru/antymoshka/
antimoshka,Антимошка,антимошка на мойке,30,3,https://icw.ua/ru/car-wash-programs/
antimoshka,Антимошка,антимошка на мойке,30,4,https://avtobania.com.ua/ru/subcategory/antimoshka
antimoshka,Антимошка,антимошка на мойке,30,5,https://luxwash.ua/ru/ximiya-dlya-avtomoiki-samoobsluzivaniya
antimoshka,Антимошка,антимошка на мойке,30,7,https://automoyka.ua/catalog/ochistiteli-slojnyh-pyaten-pyatnovyvoditeli/nerta-anti-insect-sredstvo-dlya-udaleniya-nasekomyh/
cherniteli-shin,Чернители шин,чернитель резины,1000,2,https://soft99.com.ua/category/cherneniye-shin
cherniteli-shin,Чернители шин,чернитель резины,1000,4,https://dok.ua/catalog/cherniteli-shin
cherniteli-shin,Чернители шин,чернитель резины,1000,7,https://uht24.ua/ru/category/chernitel-reziny-shin
cherniteli-shin,Чернители шин,чернитель резины,1000,8,https://atl.ua/avtohimiya/avtokhimiya-dlya-koles/ukhod-za-shinami-chernenie-shin
cherniteli-shin,Чернители шин,чернитель резины,1000,3,https://avtozvuk.ua/ukhod-za-shinami/c1263
cherniteli-shin,Чернители шин,чернение резины,390,6,https://artdetailing.com.ua/eksterer/sredstva-dlya-shin?page=3
cherniteli-shin,Чернители шин,чернение резины,390,9,https://meguiars.com.ua/ru/shiny-i-kolesa
cherniteli-shin,Чернители шин,полироль для колес,170,2,https://avtoapteka.ua/avtohimiia/poliroli/poliroli-dlia-shin/
cherniteli-shin,Чернители шин,полироль для колес,170,5,https://lido.ua/profesiini-zasobi-dlia-miiok-7169/property-vid-176969
cherniteli-shin,Чернители шин,полироль для колес,170,6,https://tiptoppro.com/ru/polirol-chornitel-z-efektom-mokrikh-shin/
dlya-ruchnoy-moyki,Для ручной мойки,автомобильный шампунь для ручной мойки,70,1,https://glosspoint.com.ua/moyka-i-ekster-er/shampuni-dlya-ruchnoy-moyki/
dlya-ruchnoy-moyki,Для ручной мойки,автомобильный шампунь для ручной мойки,70,3,https://tiptoppro.com/ru/avtoshampun-z-voskom-shampoowax-top-dlya-ruchnoi-miyki-1-l/
dlya-ruchnoy-moyki,Для ручной мойки,автомобильный шампунь для ручной мойки,70,9,https://ebrand.ua/ru/shampuni-dlia-ruchnoho-myttia/
dlya-ruchnoy-moyki,Для ручной мойки,автомобильный шампунь для ручной мойки,70,5,https://avtoapteka.ua/avtohimiia/shampuni/
