"Ключевое слово","Показов в месяц",Тренды,CPC,Конкуренция
"полировочная машинка",6600,"2024-12: 5400, 2025-01: 6600, 2025-02: 6600, 2025-03: 8100, 2025-04: 6600, 2025-05: 8100, 2025-06: 6600, 2025-07: 6600, 2025-08: 8100, 2025-09: 8100, 2025-10: 5400, 2025-11: 4400, 2025-12: 6600",0.01,1.00
"малярные скотчи",4400,"2024-12: 4400, 2025-01: 4400, 2025-02: 4400, 2025-03: 4400, 2025-04: 4400, 2025-05: 4400, 2025-06: 4400, 2025-07: 4400, 2025-08: 4400, 2025-09: 4400, 2025-10: 5400, 2025-11: 4400, 2025-12: 4400",0.03,1.00
"малярный скотч",4400,"2024-12: 4400, 2025-01: 4400, 2025-02: 4400, 2025-03: 4400, 2025-04: 4400, 2025-05: 4400, 2025-06: 4400, 2025-07: 4400, 2025-08: 4400, 2025-09: 4400, 2025-10: 5400, 2025-11: 4400, 2025-12: 4400",0.03,1.00
торнадор,3600,"2024-12: 2400, 2025-01: 3600, 2025-02: 2900, 2025-03: 4400, 2025-04: 3600, 2025-05: 3600, 2025-06: 3600, 2025-07: 3600, 2025-08: 2900, 2025-09: 2900, 2025-10: 2900, 2025-11: 2900, 2025-12: 3600",0.07,1.00
"нейтрализаторы запаха",2400,"2024-12: 2400, 2025-01: 2900, 2025-02: 1900, 2025-03: 1900, 2025-04: 1900, 2025-05: 2400, 2025-06: 1900, 2025-07: 2400, 2025-08: 1900, 2025-09: 2400, 2025-10: 2400, 2025-11: 2400, 2025-12: 2400",0.06,1.00
"полировка авто",2400,"2024-12: 1600, 2025-01: 1900, 2025-02: 1900, 2025-03: 2900, 2025-04: 2900, 2025-05: 2900, 2025-06: 2900, 2025-07: 2900, 2025-08: 2900, 2025-09: 2900, 2025-10: 1900, 2025-11: 1300, 2025-12: 2400",0.14,0.95
пятновыводитель,1900,"2024-12: 1600, 2025-01: 1900, 2025-02: 1900, 2025-03: 1900, 2025-04: 1900, 2025-05: 2400, 2025-06: 2400, 2025-07: 2400, 2025-08: 2400, 2025-09: 2400, 2025-10: 1600, 2025-11: 1600, 2025-12: 1900",0.08,0.99
"полировочная паста",1300,"2024-12: 880, 2025-01: 1300, 2025-02: 1000, 2025-03: 1600, 2025-04: 1300, 2025-05: 1600, 2025-06: 1300, 2025-07: 1300, 2025-08: 1300, 2025-09: 1300, 2025-10: 880, 2025-11: 590, 2025-12: 1300",0.04,1.00
"воск для авто",1300,"2024-12: 720, 2025-01: 1300, 2025-02: 880, 2025-03: 1600, 2025-04: 1600, 2025-05: 1600, 2025-06: 1600, 2025-07: 1300, 2025-08: 1300, 2025-09: 1300, 2025-10: 880, 2025-11: 720, 2025-12: 1300",0.03,1.00
"пена для мойки авто",1000,"2024-12: 720, 2025-01: 1600, 2025-02: 1000, 2025-03: 2400, 2025-04: 1600, 2025-05: 1300, 2025-06: 1000, 2025-07: 880, 2025-08: 720, 2025-09: 590, 2025-10: 390, 2025-11: 480, 2025-12: 1000",0.04,1.00
"пена для мойки автомобиля",1000,"2024-12: 720, 2025-01: 1600, 2025-02: 1000, 2025-03: 2400, 2025-04: 1600, 2025-05: 1300, 2025-06: 1000, 2025-07: 880, 2025-08: 720, 2025-09: 590, 2025-10: 390, 2025-11: 480, 2025-12: 1000",0.04,1.00
"микрофибра для авто",1000,"2024-12: 880, 2025-01: 1300, 2025-02: 1300, 2025-03: 1300, 2025-04: 1000, 2025-05: 1000, 2025-06: 880, 2025-07: 1000, 2025-08: 1300, 2025-09: 1000, 2025-10: 880, 2025-11: 880, 2025-12: 1000",0.07,1.00
"тряпка для авто",1000,"2024-12: 1000, 2025-01: 1300, 2025-02: 1300, 2025-03: 1600, 2025-04: 1300, 2025-05: 1000, 2025-06: 1000, 2025-07: 1000, 2025-08: 1000, 2025-09: 1000, 2025-10: 880, 2025-11: 880, 2025-12: 1000",0.04,1.00
"тряпки для автомобиля",1000,"2024-12: 1000, 2025-01: 1300, 2025-02: 1300, 2025-03: 1600, 2025-04: 1300, 2025-05: 1000, 2025-06: 1000, 2025-07: 1000, 2025-08: 1000, 2025-09: 1000, 2025-10: 880, 2025-11: 880, 2025-12: 1000",0.04,1.00
антидождь,1600,"2024-12: 2900, 2025-01: 1900, 2025-02: 1000, 2025-03: 1600, 2025-04: 1600, 2025-05: 1600, 2025-06: 880, 2025-07: 880, 2025-08: 880, 2025-09: 1600, 2025-10: 3600, 2025-11: 2900, 2025-12: 1600",0.02,1.00
"активная пена для мойки авто",880,"2024-12: 590, 2025-01: 1600, 2025-02: 1000, 2025-03: 1900, 2025-04: 1300, 2025-05: 1000, 2025-06: 880, 2025-07: 720, 2025-08: 590, 2025-09: 480, 2025-10: 260, 2025-11: 320, 2025-12: 880",0.04,1.00
автошампунь,720,"2024-12: 480, 2025-01: 880, 2025-02: 720, 2025-03: 1300, 2025-04: 1000, 2025-05: 1000, 2025-06: 1000, 2025-07: 880, 2025-08: 720, 2025-09: 590, 2025-10: 480, 2025-11: 390, 2025-12: 720",0.03,1.00
"чернитель резины",720,"2024-12: 480, 2025-01: 480, 2025-02: 590, 2025-03: 1300, 2025-04: 1300, 2025-05: 880, 2025-06: 880, 2025-07: 880, 2025-08: 880, 2025-09: 720, 2025-10: 480, 2025-11: 590, 2025-12: 720",0.04,1.00
"скотч малярний",1300,"2024-12: 1000, 2025-01: 1300, 2025-02: 1300, 2025-03: 1300, 2025-04: 1300, 2025-05: 1300, 2025-06: 1300, 2025-07: 1600, 2025-08: 1300, 2025-09: 1600, 2025-10: 1300, 2025-11: 1300, 2025-12: 1300",0.03,1.00
"омыватель стекла зимний",720,"2024-12: 2900, 2025-01: 1300, 2025-02: 1300, 2025-03: 260, 2025-04: 110, 2025-05: 70, 2025-06: 40, 2025-07: 40, 2025-08: 90, 2025-09: 390, 2025-10: 1000, 2025-11: 1600, 2025-12: 720",0.03,1.00
"полировка автомобиля",2400,"2024-12: 1600, 2025-01: 1900, 2025-02: 1900, 2025-03: 2900, 2025-04: 2900, 2025-05: 2900, 2025-06: 2900, 2025-07: 2900, 2025-08: 2900, 2025-09: 2900, 2025-10: 1900, 2025-11: 1300, 2025-12: 2400",0.14,0.95
"твёрдый воск для авто",880,"2024-12: 590, 2025-01: 720, 2025-02: 720, 2025-03: 1300, 2025-04: 1300, 2025-05: 1300, 2025-06: 1000, 2025-07: 880, 2025-08: 1000, 2025-09: 880, 2025-10: 590, 2025-11: 480, 2025-12: 880",0.10,1.00
"активная пена для мойки автомобиля",880,"2024-12: 590, 2025-01: 1600, 2025-02: 1000, 2025-03: 1900, 2025-04: 1300, 2025-05: 1000, 2025-06: 880, 2025-07: 720, 2025-08: 590, 2025-09: 480, 2025-10: 260, 2025-11: 320, 2025-12: 880",0.04,1.00
"активная пена",480,"2024-12: 260, 2025-01: 480, 2025-02: 390, 2025-03: 720, 2025-04: 590, 2025-05: 1000, 2025-06: 880, 2025-07: 390, 2025-08: 260, 2025-09: 210, 2025-10: 140, 2025-11: 170, 2025-12: 480",0.02,1.00
