slug,lang,keyword,volume,status,covered,covered_by,syn_match_method,lemma_coverage,reason
akkumulyatornaya,ru,аккумуляторная полировальная машина,260,NORM,True,,,,
aksessuary,ru,аксессуары для мойки авто,50,EXACT,True,,,,
aksessuary,ru,все для мойки авто,50,NORM,True,,,,
aksessuary,ru,аксессуары для автомоек,20,NORM,True,,,,
aksessuary,ru,аксессуары для детейлинга,20,NORM,True,,,,
aksessuary-dlya-naneseniya-sredstv,ru,губка для полировки авто,170,NORM,True,,,,
aksessuary-dlya-naneseniya-sredstv,ru,тряпки для полировки авто,50,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,ru,аппликатор для авто,30,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,ru,салфетки для полировки авто,20,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,ru,губка для салона авто,10,NORM,True,,,,
aktivnaya-pena,ru,пена для мойки авто,1300,LEMMA,True,,,,
aktivnaya-pena,ru,активная пена для мойки авто,1000,LEMMA,True,,,,
aktivnaya-pena,ru,активная пена,720,EXACT,True,,,,
aktivnaya-pena,ru,активная пена для бесконтактной мойки,320,NORM,True,,,,
aktivnaya-pena,ru,шампунь для бесконтактной мойки,110,EXACT,True,,,,
aktivnaya-pena,ru,пена для минимойки,70,EXACT,True,,,,
antibitum,ru,антибитум,50,EXACT,True,,,,
antibitum,ru,антибитум для авто,40,EXACT,True,,,,
antibitum,ru,очиститель битума,20,NORM,True,,,,
antibitum,ru,удалитель битума,20,EXACT,True,,,,
antidozhd,ru,антидождь,1200,EXACT,True,,,,
antidozhd,ru,антидождь для автомобиля,320,EXACT,True,,,,
antidozhd,ru,гидрофобное покрытие для стекла,20,EXACT,True,,,,
antidozhd,ru,антидождь для зеркал авто,20,EXACT,True,,,,
antimoshka,ru,антимошка,320,EXACT,True,,,,
antimoshka,ru,антимошка для авто,320,NORM,True,,,,
antimoshka,ru,очиститель от насекомых,10,EXACT,True,,,,
apparaty-tornador,ru,торнадор,3600,EXACT,True,,,,
apparaty-tornador,ru,торнадор для химчистки авто,260,NORM,True,,,,
apparaty-tornador,ru,tornador,140,EXACT,True,,,,
avtoshampuni,ru,автошампунь,1000,EXACT,True,,,,
avtoshampuni,ru,шампунь для авто,500,EXACT,True,,,,
avtoshampuni,ru,шампунь для мойки авто,110,EXACT,True,,,,
avtoshampuni,ru,автомобильный шампунь,50,EXACT,True,,,,
avtoshampuni,ru,автошампунь для ручной мойки,40,PARTIAL,False,,,1.0,100% lemmas found
avtoshampuni,ru,шампунь для моек высокого давления,50,NORM,True,,,,
avtoshampuni,ru,кислотный шампунь для авто,20,EXACT,True,,,,
avtoshampuni,ru,моющее средство для авто,20,EXACT,True,,,,
cherniteli-shin,ru,чернитель резины,1000,NORM,True,,,,
cherniteli-shin,ru,чернение резины,390,NORM,True,,,,
cherniteli-shin,ru,полироль для шин,90,EXACT,True,,,,
cherniteli-shin,ru,средства для чернения шин,90,NORM,True,,,,
cherniteli-shin,ru,чернитель колёс,50,EXACT,True,,,,
glina-i-avtoskraby,ru,глина для авто,390,EXACT,True,,,,
glina-i-avtoskraby,ru,синяя глина для авто,140,NORM,True,,,,
glina-i-avtoskraby,ru,автоскраб,90,EXACT,True,,,,
glina-i-avtoskraby,ru,глина для чистки авто,50,NORM,True,,,,
glina-i-avtoskraby,ru,очищающая глина для кузова автомобиля,10,NORM,True,,,,
gubki-i-varezhki,ru,мочалка для авто,320,NORM,True,,,,
gubki-i-varezhki,ru,губка для авто,110,NORM,True,,,,
gubki-i-varezhki,ru,перчатка для мойки авто,90,EXACT,True,,,,
gubki-i-varezhki,ru,губка для мойки авто,70,EXACT,True,,,,
gubki-i-varezhki,ru,мочалки для мойки авто,70,NORM,True,,,,
gubki-i-varezhki,ru,варежка для мойки авто,40,NORM,True,,,,
keramika-dlya-diskov,ru,защитное покрытие для дисков,10,EXACT,True,,,,
keramika-dlya-diskov,ru,керамика для колёсных дисков,10,NORM,True,,,,
keramika-dlya-diskov,ru,нанокерамика для дисков,10,NORM,True,,,,
keramika-i-zhidkoe-steklo,ru,жидкое стекло для автомобилей,480,EXACT,True,,,,
keramika-i-zhidkoe-steklo,ru,нанокерамика,480,EXACT,True,,,,
keramika-i-zhidkoe-steklo,ru,нанокерамика для авто,390,EXACT,True,,,,
keramika-i-zhidkoe-steklo,ru,керамическое покрытие авто,170,EXACT,True,,,,
keramika-i-zhidkoe-steklo,ru,жидкое стекло для полировки авто,20,EXACT,True,,,,
keramika-i-zhidkoe-steklo,ru,керамика для авто,20,EXACT,True,,,,
kisti-dlya-deteylinga,ru,щетка для детейлинга,210,NORM,True,,,,
kisti-dlya-deteylinga,ru,щетка для чистки салона авто,70,EXACT,True,,,,
kisti-dlya-deteylinga,ru,щетки для химчистки авто,50,EXACT,True,,,,
kisti-dlya-deteylinga,ru,щетка для дисков авто,50,NORM,True,,,,
kisti-dlya-deteylinga,ru,набор щеток для детейлинга,40,EXACT,True,,,,
kisti-dlya-deteylinga,ru,кисти для детейлинга,10,NORM,True,,,,
kisti-dlya-deteylinga,ru,щетка для чистки кожи авто,20,LEMMA,True,,,,
kvik-deteylery,ru,холодный воск для автомобиля,110,EXACT,True,,,,
kvik-deteylery,ru,горячий воск для авто,90,EXACT,True,,,,
kvik-deteylery,ru,быстрый воск для авто,40,EXACT,True,,,,
kvik-deteylery,ru,воск для авто на автомойке,20,EXACT,True,,,,
kvik-deteylery,ru,быстрый блеск для авто,10,EXACT,True,,,,
kvik-deteylery,ru,квик-детейлер,10,EXACT,True,,,,
malyarniy-skotch,ru,малярный скотч,4400,EXACT,True,,,,
malyarniy-skotch,ru,малярная лента,50,EXACT,True,,,,
malyarniy-skotch,ru,малярный скотч 10мм,40,EXACT,True,,,,
malyarniy-skotch,ru,скотч малярный автомобильный,20,NORM,True,,,,
malyarniy-skotch,ru,малярный скотч широкий,10,EXACT,True,,,,
malyarniy-skotch,ru,малярный скотч для авто,10,NORM,True,,,,
mekhovye,ru,шерстяной круг для полировки,50,NORM,True,,,,
mekhovye,ru,меховой круг для полировки,20,NORM,True,,,,
mekhovye,ru,wool pad,10,EXACT,True,,,,
mikrofibra-i-tryapki,ru,микрофибра для авто,1000,EXACT,True,,,,
mikrofibra-i-tryapki,ru,тряпка для авто,1000,EXACT,True,,,,
mikrofibra-i-tryapki,ru,тряпка для авто без разводов,170,NORM,True,,,,
mikrofibra-i-tryapki,ru,микрофибра для сушки авто,140,EXACT,True,,,,
mikrofibra-i-tryapki,ru,тряпки для сушки авто,110,NORM,True,,,,
mikrofibra-i-tryapki,ru,влаговпитывающая тряпка для авто,90,EXACT,True,,,,
mikrofibra-i-tryapki,ru,тряпка микрофибра для авто,70,NORM,True,,,,
mikrofibra-i-tryapki,ru,полотенце для сушки авто,50,NORM,True,,,,
mikrofibra-i-tryapki,ru,микрофибра для полировки авто,50,NORM,True,,,,
mikrofibra-i-tryapki,ru,тряпки для мытья машины,50,PARTIAL,False,,,0.5,50% lemmas found
mikrofibra-i-tryapki,ru,тряпка для стекла автомобиля,40,PARTIAL,False,,,1.0,100% lemmas found
moyka-i-eksterer,ru,химия для мойки авто,260,EXACT,True,,,,
moyka-i-eksterer,ru,очиститель кузова автомобиля,50,NORM,True,,,,
moyka-i-eksterer,ru,химия для автомойки,50,EXACT,True,,,,
moyka-i-eksterer,ru,средство для мойки авто,70,EXACT,True,,,,
moyka-i-eksterer,ru,автохимия для мойки авто,50,PARTIAL,False,,,1.0,100% lemmas found
moyka-i-eksterer,ru,жидкость для мойки авто,10,EXACT,True,,,,
nabory,ru,наборы для авто,390,EXACT,True,,,,
nabory,ru,набор для полировки авто,390,NORM,True,,,,
nabory,ru,наборы для детейлинга,260,LEMMA,True,,,,
nabory,ru,набор для мойки авто,210,EXACT,True,,,,
nabory,ru,набор для ухода за авто,170,SYNONYM,True,наборы для ухода за автомобилем,LEMMA,,
nabory,ru,набор для химчистки автомобиля,170,NORM,True,,,,
nabory,ru,подарочные наборы для мужчин в машину,140,NORM,True,,,,
nabory,ru,набор для химчистки салона,140,EXACT,True,,,,
nabory,ru,набор для чистки салона авто,140,NORM,True,,,,
nabory,ru,набор для чистки салона автомобиля,110,PARTIAL,False,,,1.0,100% lemmas found
nabory,ru,подарочные наборы в машину,90,NORM,True,,,,
nabory,ru,подарочные наборы для автомобилиста,90,NORM,True,,,,
neytralizatory-zapakha,ru,нейтрализаторы запаха,2400,NORM,True,,,,
neytralizatory-zapakha,ru,поглотитель запаха,260,NORM,True,,,,
neytralizatory-zapakha,ru,нейтрализатор запаха в автомобиле,170,EXACT,True,,,,
neytralizatory-zapakha,ru,профессиональный нейтрализатор запаха,170,NORM,True,,,,
neytralizatory-zapakha,ru,устранитель запаха,90,NORM,True,,,,
neytralizatory-zapakha,ru,нейтрализатор запахов в салоне авто,50,NORM,True,,,,
neytralizatory-zapakha,ru,средство для удаления запаха в салоне автомобиля,30,PARTIAL,False,,,0.8333333333333334,83% lemmas found
neytralizatory-zapakha,ru,устранение запаха в автомобиле,30,EXACT,True,,,,
neytralizatory-zapakha,ru,удаление запаха в машине,10,ABSENT,False,,,,
