slug,lang,keyword,volume,status,covered,covered_by,syn_match_method,lemma_coverage,reason
akkumulyatornaya,uk,акумуляторна полірувальна машина,320,EXACT,True,,,,
akkumulyatornaya,uk,акумуляторна полірувальна машина для авто,90,NORM,True,,,,
aksessuary,uk,косметика для авто,90,EXACT,True,,,,
aksessuary,uk,сушка для авто,50,NORM,True,,,,
aksessuary,uk,аксесуари для миття авто,50,EXACT,True,,,,
aksessuary,uk,все для миття авто,50,EXACT,True,,,,
aksessuary,uk,аксесуари для детейлінгу,20,EXACT,True,,,,
aksessuary,uk,аксесуари для автомийок,20,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,uk,губка для полірування автомобіля,170,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,uk,ганчірки для полірування авто,50,NORM,True,,,,
aksessuary-dlya-naneseniya-sredstv,uk,аплікатор для авто,30,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,uk,салфетки для полірування авто,20,PARTIAL,False,,,0.75,75% lemmas found
aksessuary-dlya-naneseniya-sredstv,uk,губка з мікрофібри для авто,10,EXACT,True,,,,
aksessuary-dlya-naneseniya-sredstv,uk,губка для салону авто,10,LEMMA,True,,,,
aktivnaya-pena,uk,активна піна для авто,1600,NORM,True,,,,
aktivnaya-pena,uk,піна для миття авто,1300,EXACT,True,,,,
aktivnaya-pena,uk,активна піна,1000,EXACT,True,,,,
aktivnaya-pena,uk,хімія для миття авто,1000,EXACT,True,,,,
aktivnaya-pena,uk,автохімія для миття авто,390,LEMMA,True,,,,
aktivnaya-pena,uk,активна піна для безконтактної мийки,320,NORM,True,,,,
aktivnaya-pena,uk,засоби для миття авто,320,EXACT,True,,,,
aktivnaya-pena,uk,хімія для безконтактної мийки,140,EXACT,True,,,,
aktivnaya-pena,uk,хімія для мийки самообслуговування,110,PARTIAL,False,,,0.75,75% lemmas found
aktivnaya-pena,uk,засоби для мийки самообслуговування,90,PARTIAL,False,,,0.75,75% lemmas found
aktivnaya-pena,uk,гель для миття авто,90,PARTIAL,False,,,0.75,75% lemmas found
antibitum,uk,антибітум,720,EXACT,True,,,,
antibitum,uk,очищувач бітуму,390,EXACT,True,,,,
antibitum,uk,засіб для видалення бітуму,140,EXACT,True,,,,
antibitum,uk,засіб для очищення кузова від бітуму,70,EXACT,True,,,,
antidozhd,uk,антидощ,1900,EXACT,True,,,,
antidozhd,uk,антидощ для скла авто,390,NORM,True,,,,
antidozhd,uk,антидощ на лобове скло,170,NORM,True,,,,
antidozhd,uk,гідрофобне покриття,40,EXACT,True,,,,
antimoshka,uk,антимошка,320,EXACT,True,,,,
antimoshka,uk,очищувач слідів комах,320,EXACT,True,,,,
antimoshka,uk,антимошка для авто,260,NORM,True,,,,
antimoshka,uk,засіб від комах,140,EXACT,True,,,,
antimoshka,uk,засіб для видалення комах,90,EXACT,True,,,,
antimoshka,uk,антимошка на мийці,30,NORM,True,,,,
antimoshka,uk,концентрат антимошка,20,NORM,True,,,,
antimoshka,uk,антимошка спрей,10,NORM,True,,,,
apparaty-tornador,uk,торнадор,3600,EXACT,True,,,,
apparaty-tornador,uk,торнадор для хімчистки авто,260,EXACT,True,,,,
apparaty-tornador,uk,пістолет для хімчистки авто,140,NORM,True,,,,
apparaty-tornador,uk,апарат для хімчистки авто,90,NORM,True,,,,
apparaty-tornador,uk,торнадор для хімчистки салону,30,EXACT,True,,,,
avtoshampuni,uk,автошампунь,590,EXACT,True,,,,
avtoshampuni,uk,шампунь для авто,390,EXACT,True,,,,
avtoshampuni,uk,автошампунь для ручної мийки,210,EXACT,True,,,,
avtoshampuni,uk,автошампунь з воском,110,NORM,True,,,,
