slug,status,primary_keyword,primary_volume,current_h1,expected_h1,fix_needed,lang
akkumulyatornaya,OK,акумуляторна полірувальна машина,320,Акумуляторні полірувальні машини,Акумуляторні полірувальна машина,False,uk
aksessuary,OK,косметика для авто,90,Косметика для авто,Косметики для авто,False,uk
aksessuary-dlya-naneseniya-sredstv,OK,губка для полірування автомобіля,170,Губки для полірування автомобіля,Губки для полірування автомобіля,False,uk
aktivnaya-pena,OK,активна піна для авто,1600,Активна піна для авто,Активні піни для авто,False,uk
antibitum,OK,антибітум,720,Антибітумні засоби,Антибітуми,False,uk
antidozhd,OK,антидощ,1900,Антидощ для скла,Антидощі,False,uk
antimoshka,OK,очищувач слідів комах,320,Очищувачі слідів комах,Очищувачі слідів комах,False,uk
apparaty-tornador,OK,торнадор,3600,Апарати Торнадор,Торнадори,False,uk
avtoshampuni,OK,автошампунь,590,Автошампуні,Автошампуні,False,uk
cherniteli-shin,OK,чорніння гуми,390,Чорніння гуми,Чорніння гуми,False,uk
glavnaya,OK,Автохімія та автокосметика,0,Автохімія та автокосметика,Автохімія та автокосметика,False,uk
glina-i-avtoskraby,OK,Глина та автоскраби,0,Глина та автоскраби,Глини та автоскраби,False,uk
gubki-i-varezhki,OK,Губки та рукавички,0,Губки та рукавички,Губки та рукавички,False,uk
keramika-dlya-diskov,OK,захисне покриття для дисків,10,Захисне покриття для дисків,Захисні покриття для дисків,False,uk
keramika-i-zhidkoe-steklo,OK,Кераміка та рідке скло,0,Кераміка та рідке скло,Кераміки та рідке скло,False,uk
kisti-dlya-deteylinga,OK,Щітки та пензлі для детейлінгу,0,Щітки та пензлі для детейлінгу,Щітки та пензлі для детейлінгу,False,uk
kvik-deteylery,OK,полімер для авто,140,Полімер для авто,Полімери для авто,False,uk
malyarniy-skotch,OK,малярний скотч,4400,Малярні скотчі,Малярні скотчі,False,uk
mekhovye,OK,шерстяний круг для полірування,50,Шерстяні круги для полірування,Шерстяні круги для полірування,False,uk
mikrofibra-i-tryapki,OK,Мікрофібра та ганчірки,0,Мікрофібра та ганчірки,Мікрофібри та ганчірки,False,uk
moyka-i-eksterer,OK,Мийка та екстер'єр,0,Мийка та екстер'єр,Мийки та екстер'єр,False,uk
nabory,OK,набір для миття авто,480,Набори для миття авто,Набори для миття авто,False,uk
neytralizatory-zapakha,OK,поглинач запахів,480,Поглиначі запахів,Поглиначі запахів,False,uk
obezzhirivateli,OK,знежирювач для авто,390,Знежирювачі для авто,Знежирювачі для авто,False,uk
oborudovanie,OK,обладнання для хімчистки авто,90,Обладнання для хімчистки авто,Обладнання для хімчистки авто,False,uk
ochistiteli-diskov,OK,очищувач дисків,590,Очищувачі дисків,Очищувачі дисків,False,uk
ochistiteli-dvigatelya,OK,очищувач двигуна,1000,Очищувачі двигуна,Очищувачі двигуна,False,uk
ochistiteli-kozhi,OK,очищувач шкіри авто,320,Очищувачі шкіри авто,Очищувачі шкіри авто,False,uk
ochistiteli-kuzova,OK,очищувач кузова,320,Очищувачі кузова,Очищувачі кузова,False,uk
ochistiteli-shin,OK,очищувач гуми,260,Очищувачі гуми,Очищувачі гуми,False,uk
ochistiteli-stekol,OK,очищувач скла,210,Очищувачі скла,Очищувачі скла,False,uk
omyvatel,OK,омивач скла,1300,Омивачі скла,Омивачі скла,False,uk
opt-i-b2b,OK,Автохімія оптом,0,Автохімія оптом,Автохімія оптом,False,uk
polirol-dlya-stekla,OK,Поліролі для фар,0,Поліролі для фар,Поліроли для фар,False,uk
